date,close,weighted_signal,signal,action,opinion,position
2023-09-01,245.00999450683594,0.0,0,HOLD,관망,1
2023-09-05,256.489990234375,0.0,0,HOLD,관망,1
2023-09-06,251.9199981689453,0.0,0,HOLD,관망,1
2023-09-07,251.49000549316406,0.0,0,HOLD,관망,1
2023-09-08,248.5,0.0,0,HOLD,관망,1
2023-09-11,273.5799865722656,-0.2523287407258039,-1,SELL,매도,0
2023-09-12,267.4800109863281,0.0,0,HOLD,관망,0
2023-09-13,271.29998779296875,0.0,0,HOLD,관망,0
2023-09-14,276.0400085449219,-0.11206920458628056,-1,HOLD,관망,0
2023-09-15,274.3900146484375,0.0,0,HOLD,관망,0
2023-09-18,265.2799987792969,0.0,0,HOLD,관망,0
2023-09-19,266.5,0.0,0,HOLD,관망,0
2023-09-20,262.5899963378906,0.0,0,HOLD,관망,0
2023-09-21,255.6999969482422,0.0,0,HOLD,관망,0
2023-09-22,244.8800048828125,0.0,0,HOLD,관망,0
2023-09-25,246.99000549316406,0.0,0,HOLD,관망,0
2023-09-26,244.1199951171875,0.0,0,HOLD,관망,0
2023-09-27,240.5,0.0,0,HOLD,관망,0
2023-09-28,246.3800048828125,0.0,0,HOLD,관망,0
2023-09-29,250.22000122070312,0.0,0,HOLD,관망,0
2023-10-02,251.60000610351562,0.0,0,HOLD,관망,0
2023-10-03,246.52999877929688,0.0,0,HOLD,관망,0
2023-10-04,261.1600036621094,0.0,0,HOLD,관망,0
2023-10-05,260.04998779296875,0.0,0,HOLD,관망,0
2023-10-06,260.5299987792969,0.0,0,HOLD,관망,0
2023-10-09,259.6700134277344,0.0,0,HOLD,관망,0
2023-10-10,263.6199951171875,0.0,0,HOLD,관망,0
2023-10-11,262.989990234375,0.0,0,HOLD,관망,0
2023-10-12,258.8699951171875,0.0,0,HOLD,관망,0
2023-10-13,251.1199951171875,0.0,0,HOLD,관망,0
2023-10-16,253.9199981689453,0.0,0,HOLD,관망,0
2023-10-17,254.85000610351562,0.0,0,HOLD,관망,0
2023-10-18,242.67999267578125,0.0,0,HOLD,관망,0
2023-10-19,220.11000061035156,-0.33389767920170876,-1,HOLD,관망,0
2023-10-20,211.99000549316406,-0.13325450779344064,-1,HOLD,관망,0
2023-10-23,212.0800018310547,0.14025953613952338,1,BUY,매수,1
2023-10-24,216.52000427246094,0.2523287407258039,1,HOLD,관망,1
2023-10-25,212.4199981689453,0.2523287407258039,1,HOLD,관망,1
2023-10-26,205.75999450683594,0.2523287407258039,1,HOLD,관망,1
2023-10-27,207.3000030517578,0.11206920458628056,1,HOLD,관망,1
2023-10-30,197.36000061035156,0.2523287407258039,1,HOLD,관망,1
2023-10-31,200.83999633789062,0.11206920458628056,1,HOLD,관망,1
2023-11-01,205.66000366210938,0.11206920458628056,1,HOLD,관망,1
2023-11-02,218.50999450683594,0.0,0,HOLD,관망,1
2023-11-03,219.9600067138672,0.0,0,HOLD,관망,1
2023-11-06,219.27000427246094,0.0,0,HOLD,관망,1
2023-11-07,222.17999267578125,0.0,0,HOLD,관망,1
2023-11-08,222.11000061035156,0.0,0,HOLD,관망,1
2023-11-09,209.97999572753906,0.0,0,HOLD,관망,1
2023-11-10,214.64999389648438,0.0,0,HOLD,관망,1
2023-11-13,223.7100067138672,0.0,0,HOLD,관망,1
2023-11-14,237.41000366210938,0.0,0,HOLD,관망,1
2023-11-15,242.83999633789062,-0.11206920458628056,-1,SELL,매도,0
2023-11-16,233.58999633789062,0.0,0,HOLD,관망,0
2023-11-17,234.3000030517578,-0.11206920458628056,-1,HOLD,관망,0
2023-11-20,235.60000610351562,-0.11206920458628056,-1,HOLD,관망,0
2023-11-21,241.1999969482422,-0.11206920458628056,-1,HOLD,관망,0
2023-11-22,234.2100067138672,0.0,0,HOLD,관망,0
2023-11-24,235.4499969482422,0.0,0,HOLD,관망,0
2023-11-27,236.0800018310547,0.0,0,HOLD,관망,0
2023-11-28,246.72000122070312,0.0,0,HOLD,관망,0
2023-11-29,244.13999938964844,0.273514043932964,1,BUY,매수,1
2023-11-30,240.0800018310547,0.0,0,HOLD,관망,1
2023-12-01,238.8300018310547,0.0,0,HOLD,관망,1
2023-12-04,235.5800018310547,0.0,0,HOLD,관망,1
2023-12-05,238.72000122070312,0.0,0,HOLD,관망,1
2023-12-06,239.3699951171875,0.0,0,HOLD,관망,1
2023-12-07,242.63999938964844,0.0,0,HOLD,관망,1
2023-12-08,243.83999633789062,0.0,0,HOLD,관망,1
2023-12-11,239.74000549316406,0.0,0,HOLD,관망,1
2023-12-12,237.00999450683594,0.0,0,HOLD,관망,1
2023-12-13,239.2899932861328,0.0,0,HOLD,관망,1
2023-12-14,251.0500030517578,0.0,0,HOLD,관망,1
2023-12-15,253.5,0.0,0,HOLD,관망,1
2023-12-18,252.0800018310547,0.0,0,HOLD,관망,1
2023-12-19,257.2200012207031,0.0,0,HOLD,관망,1
2023-12-20,247.13999938964844,0.0,0,HOLD,관망,1
2023-12-21,254.5,0.0,0,HOLD,관망,1
2023-12-22,252.5399932861328,0.0,0,HOLD,관망,1
2023-12-26,256.6099853515625,0.4741572153412321,1,HOLD,관망,1
2023-12-27,261.44000244140625,-0.14025953613952338,-1,SELL,매도,0
2023-12-28,253.17999267578125,0.0,0,HOLD,관망,0
2023-12-29,248.47999572753906,0.0,0,HOLD,관망,0
2024-01-02,248.4199981689453,0.0,0,HOLD,관망,0
2024-01-03,238.4499969482422,0.0,0,HOLD,관망,0
2024-01-04,237.92999267578125,0.0,0,HOLD,관망,0
2024-01-05,237.49000549316406,0.0,0,HOLD,관망,0
2024-01-08,240.4499969482422,0.0,0,HOLD,관망,0
2024-01-09,234.9600067138672,0.0,0,HOLD,관망,0
2024-01-10,233.94000244140625,0.0,0,HOLD,관망,0
2024-01-11,227.22000122070312,-0.13325450779344064,-1,HOLD,관망,0
2024-01-12,218.88999938964844,0.2523287407258039,1,BUY,매수,1
2024-01-16,219.91000366210938,0.2523287407258039,1,HOLD,관망,1
2024-01-17,215.5500030517578,0.2523287407258039,1,HOLD,관망,1
2024-01-18,211.8800048828125,0.2523287407258039,1,HOLD,관망,1
2024-01-19,212.19000244140625,0.2523287407258039,1,HOLD,관망,1
2024-01-22,208.8000030517578,0.2523287407258039,1,HOLD,관망,1
2024-01-23,209.13999938964844,-0.36208801075495156,-1,SELL,매도,0
2024-01-24,207.8300018310547,0.11206920458628056,1,BUY,매수,1
2024-01-25,182.6300048828125,0.2523287407258039,1,HOLD,관망,1
2024-01-26,183.25,0.2523287407258039,1,HOLD,관망,1
2024-01-29,190.92999267578125,0.11206920458628056,1,HOLD,관망,1
2024-01-30,191.58999633789062,0.11206920458628056,1,HOLD,관망,1
2024-01-31,187.2899932861328,0.11206920458628056,1,HOLD,관망,1
2024-02-01,188.86000061035156,0.11206920458628056,1,HOLD,관망,1
2024-02-02,187.91000366210938,0.11206920458628056,1,HOLD,관망,1
2024-02-05,181.05999755859375,0.11206920458628056,1,HOLD,관망,1
2024-02-06,185.10000610351562,0.11206920458628056,1,HOLD,관망,1
2024-02-07,187.5800018310547,0.0,0,HOLD,관망,1
2024-02-08,189.55999755859375,0.0,0,HOLD,관망,1
2024-02-09,193.57000732421875,0.0,0,HOLD,관망,1
2024-02-12,188.1300048828125,0.0,0,HOLD,관망,1
2024-02-13,184.02000427246094,0.0,0,HOLD,관망,1
2024-02-14,188.7100067138672,0.0,0,HOLD,관망,1
2024-02-15,200.4499969482422,0.0,0,HOLD,관망,1
2024-02-16,199.9499969482422,0.0,0,HOLD,관망,1
2024-02-20,193.75999450683594,0.0,0,HOLD,관망,1
2024-02-21,194.77000427246094,0.0,0,HOLD,관망,1
2024-02-22,197.41000366210938,0.0,0,HOLD,관망,1
2024-02-23,191.97000122070312,0.0,0,HOLD,관망,1
2024-02-26,199.39999389648438,0.0,0,HOLD,관망,1
2024-02-27,199.72999572753906,0.0,0,HOLD,관망,1
2024-02-28,202.0399932861328,0.0,0,HOLD,관망,1
2024-02-29,201.8800048828125,0.0,0,HOLD,관망,1
2024-03-01,202.63999938964844,0.0,0,HOLD,관망,1
2024-03-04,188.13999938964844,0.0,0,HOLD,관망,1
2024-03-05,180.74000549316406,0.0,0,HOLD,관망,1
2024-03-06,176.5399932861328,0.0,0,HOLD,관망,1
2024-03-07,178.64999389648438,0.0,0,HOLD,관망,1
2024-03-08,175.33999633789062,0.0,0,HOLD,관망,1
2024-03-11,177.77000427246094,0.0,0,HOLD,관망,1
2024-03-12,177.5399932861328,0.0,0,HOLD,관망,1
2024-03-13,169.47999572753906,0.14025953613952338,1,HOLD,관망,1
2024-03-14,162.5,0.14025953613952338,1,HOLD,관망,1
2024-03-15,163.57000732421875,0.2523287407258039,1,HOLD,관망,1
2024-03-18,173.8000030517578,0.0,0,HOLD,관망,1
2024-03-19,171.32000732421875,0.0,0,HOLD,관망,1
2024-03-20,175.66000366210938,0.0,0,HOLD,관망,1
2024-03-21,172.82000732421875,0.0,0,HOLD,관망,1
2024-03-22,170.8300018310547,0.0,0,HOLD,관망,1
2024-03-25,172.6300048828125,0.0,0,HOLD,관망,1
2024-03-26,177.6699981689453,0.0,0,HOLD,관망,1
2024-03-27,179.8300018310547,0.0,0,HOLD,관망,1
2024-03-28,175.7899932861328,0.0,0,HOLD,관망,1
2024-04-01,175.22000122070312,0.0,0,HOLD,관망,1
2024-04-02,166.6300048828125,0.0,0,HOLD,관망,1
2024-04-03,168.3800048828125,0.0,0,HOLD,관망,1
2024-04-04,171.11000061035156,0.0,0,HOLD,관망,1
2024-04-05,164.89999389648438,0.0,0,HOLD,관망,1
2024-04-08,172.97999572753906,0.0,0,HOLD,관망,1
2024-04-09,176.8800048828125,0.0,0,HOLD,관망,1
2024-04-10,171.75999450683594,0.0,0,HOLD,관망,1
2024-04-11,174.60000610351562,0.0,0,HOLD,관망,1
2024-04-12,171.0500030517578,0.0,0,HOLD,관망,1
2024-04-15,161.47999572753906,0.14025953613952338,1,HOLD,관망,1
2024-04-16,157.11000061035156,0.14025953613952338,1,HOLD,관망,1
2024-04-17,155.4499969482422,0.14025953613952338,1,HOLD,관망,1
2024-04-18,149.92999267578125,0.14025953613952338,1,HOLD,관망,1
2024-04-19,147.0500030517578,0.14025953613952338,1,HOLD,관망,1
2024-04-22,142.0500030517578,0.14025953613952338,1,HOLD,관망,1
2024-04-23,144.67999267578125,0.14025953613952338,1,HOLD,관망,1
2024-04-24,162.1300048828125,0.0,0,HOLD,관망,1
2024-04-25,170.17999267578125,0.0,0,HOLD,관망,1
2024-04-26,168.2899932861328,0.0,0,HOLD,관망,1
2024-04-29,194.0500030517578,-0.14025953613952338,-1,SELL,매도,0
2024-04-30,183.27999877929688,0.0,0,HOLD,관망,0
2024-05-01,179.99000549316406,0.0,0,HOLD,관망,0
2024-05-02,180.00999450683594,0.0,0,HOLD,관망,0
2024-05-03,181.19000244140625,0.0,0,HOLD,관망,0
2024-05-06,184.75999450683594,0.0,0,HOLD,관망,0
2024-05-07,177.80999755859375,0.0,0,HOLD,관망,0
2024-05-08,174.72000122070312,0.0,0,HOLD,관망,0
2024-05-09,171.97000122070312,0.0,0,HOLD,관망,0
2024-05-10,168.47000122070312,0.0,0,HOLD,관망,0
2024-05-13,171.88999938964844,0.0,0,HOLD,관망,0
2024-05-14,177.5500030517578,0.0,0,HOLD,관망,0
2024-05-15,173.99000549316406,0.0,0,HOLD,관망,0
2024-05-16,174.83999633789062,0.0,0,HOLD,관망,0
2024-05-17,177.4600067138672,0.0,0,HOLD,관망,0
2024-05-20,174.9499969482422,0.0,0,HOLD,관망,0
2024-05-21,186.60000610351562,0.0,0,HOLD,관망,0
2024-05-22,180.11000061035156,0.0,0,HOLD,관망,0
2024-05-23,173.74000549316406,0.0,0,HOLD,관망,0
2024-05-24,179.24000549316406,0.0,0,HOLD,관망,0
2024-05-28,176.75,0.0,0,HOLD,관망,0
2024-05-29,176.19000244140625,0.0,0,HOLD,관망,0
2024-05-30,178.7899932861328,0.0,0,HOLD,관망,0
2024-05-31,178.0800018310547,0.0,0,HOLD,관망,0
2024-06-03,176.2899932861328,0.0,0,HOLD,관망,0
2024-06-04,174.77000427246094,0.0,0,HOLD,관망,0
2024-06-05,175.0,0.0,0,HOLD,관망,0
2024-06-06,177.94000244140625,0.0,0,HOLD,관망,0
2024-06-07,177.47999572753906,0.0,0,HOLD,관망,0
2024-06-10,173.7899932861328,0.4741572153412321,1,BUY,매수,1
2024-06-11,170.66000366210938,-0.4741572153412321,-1,SELL,매도,0
2024-06-12,177.2899932861328,0.0,0,HOLD,관망,0
2024-06-13,182.47000122070312,0.0,0,HOLD,관망,0
2024-06-14,178.00999450683594,0.0,0,HOLD,관망,0
2024-06-17,187.44000244140625,-0.14025953613952338,-1,HOLD,관망,0
2024-06-18,184.86000061035156,0.0,0,HOLD,관망,0
2024-06-20,181.57000732421875,0.4741572153412321,1,BUY,매수,1
2024-06-21,183.00999450683594,0.0,0,HOLD,관망,1
2024-06-24,182.5800018310547,0.0,0,HOLD,관망,1
2024-06-25,187.35000610351562,-0.14025953613952338,-1,SELL,매도,0
2024-06-26,196.3699951171875,0.13325450779344064,1,BUY,매수,1
2024-06-27,197.4199981689453,-0.14025953613952338,-1,SELL,매도,0
2024-06-28,197.8800048828125,-0.14025953613952338,-1,HOLD,관망,0
2024-07-01,209.86000061035156,-0.2523287407258039,-1,HOLD,관망,0
2024-07-02,231.25999450683594,-0.2523287407258039,-1,HOLD,관망,0
2024-07-03,246.38999938964844,-0.2523287407258039,-1,HOLD,관망,0
2024-07-05,251.52000427246094,-0.2523287407258039,-1,HOLD,관망,0
2024-07-08,252.94000244140625,-0.2523287407258039,-1,HOLD,관망,0
2024-07-09,262.3299865722656,-0.2523287407258039,-1,HOLD,관망,0
2024-07-10,263.260009765625,-0.2523287407258039,-1,HOLD,관망,0
2024-07-11,241.02999877929688,-0.11206920458628056,-1,HOLD,관망,0
2024-07-12,248.22999572753906,-0.11206920458628056,-1,HOLD,관망,0
2024-07-15,252.63999938964844,-0.11206920458628056,-1,HOLD,관망,0
2024-07-16,256.55999755859375,-0.11206920458628056,-1,HOLD,관망,0
2024-07-17,248.5,-0.11206920458628056,-1,HOLD,관망,0
2024-07-18,249.22999572753906,-0.11206920458628056,-1,HOLD,관망,0
2024-07-19,239.1999969482422,0.0,0,HOLD,관망,0
2024-07-22,251.50999450683594,0.0,0,HOLD,관망,0
2024-07-23,246.3800048828125,0.0,0,HOLD,관망,0
2024-07-24,215.99000549316406,0.0,0,HOLD,관망,0
2024-07-25,220.25,0.0,0,HOLD,관망,0
2024-07-26,219.8000030517578,0.0,0,HOLD,관망,0
2024-07-29,232.10000610351562,0.0,0,HOLD,관망,0
2024-07-30,222.6199951171875,0.0,0,HOLD,관망,0
2024-07-31,232.07000732421875,0.0,0,HOLD,관망,0
2024-08-01,216.86000061035156,0.0,0,HOLD,관망,0
2024-08-02,207.6699981689453,0.0,0,HOLD,관망,0
2024-08-05,198.8800048828125,0.0,0,HOLD,관망,0
2024-08-06,200.63999938964844,0.0,0,HOLD,관망,0
2024-08-07,191.75999450683594,0.0,0,HOLD,관망,0
2024-08-08,198.83999633789062,0.0,0,HOLD,관망,0
2024-08-09,200.0,0.0,0,HOLD,관망,0
2024-08-12,197.49000549316406,0.0,0,HOLD,관망,0
2024-08-13,207.8300018310547,0.0,0,HOLD,관망,0
2024-08-14,201.3800048828125,0.0,0,HOLD,관망,0
2024-08-15,214.13999938964844,0.0,0,HOLD,관망,0
2024-08-16,216.1199951171875,0.0,0,HOLD,관망,0
2024-08-19,222.72000122070312,0.0,0,HOLD,관망,0
2024-08-20,221.10000610351562,0.0,0,HOLD,관망,0
2024-08-21,223.27000427246094,0.0,0,HOLD,관망,0
2024-08-22,210.66000366210938,0.0,0,HOLD,관망,0
2024-08-23,220.32000732421875,0.0,0,HOLD,관망,0
2024-08-26,213.2100067138672,0.0,0,HOLD,관망,0
2024-08-27,209.2100067138672,0.0,0,HOLD,관망,0
2024-08-28,205.75,0.0,0,HOLD,관망,0
2024-08-29,206.27999877929688,0.0,0,HOLD,관망,0
2024-08-30,214.11000061035156,0.0,0,HOLD,관망,0
2024-09-03,210.60000610351562,0.0,0,HOLD,관망,0
2024-09-04,219.41000366210938,0.0,0,HOLD,관망,0
2024-09-05,230.1699981689453,0.0,0,HOLD,관망,0
2024-09-06,210.72999572753906,0.0,0,HOLD,관망,0
2024-09-09,216.27000427246094,0.0,0,HOLD,관망,0
2024-09-10,226.1699981689453,0.0,0,HOLD,관망,0
2024-09-11,228.1300048828125,0.0,0,HOLD,관망,0
2024-09-12,229.80999755859375,0.0,0,HOLD,관망,0
2024-09-13,230.2899932861328,0.0,0,HOLD,관망,0
2024-09-16,226.77999877929688,0.0,0,HOLD,관망,0
2024-09-17,227.8699951171875,0.0,0,HOLD,관망,0
2024-09-18,227.1999969482422,0.0,0,HOLD,관망,0
2024-09-19,243.9199981689453,-0.2523287407258039,-1,HOLD,관망,0
2024-09-20,238.25,0.0,0,HOLD,관망,0
2024-09-23,250.0,-0.2523287407258039,-1,HOLD,관망,0
2024-09-24,254.27000427246094,-0.14025953613952338,-1,HOLD,관망,0
2024-09-25,257.0199890136719,-0.14025953613952338,-1,HOLD,관망,0
2024-09-26,254.22000122070312,-0.2523287407258039,-1,HOLD,관망,0
2024-09-27,260.4599914550781,-0.2523287407258039,-1,HOLD,관망,0
2024-09-30,261.6300048828125,-0.2523287407258039,-1,HOLD,관망,0
2024-10-01,258.0199890136719,-0.11206920458628056,-1,HOLD,관망,0
2024-10-02,249.02000427246094,0.0,0,HOLD,관망,0
2024-10-03,240.66000366210938,0.0,0,HOLD,관망,0
2024-10-04,250.0800018310547,0.0,0,HOLD,관망,0
2024-10-07,240.8300018310547,0.0,0,HOLD,관망,0
2024-10-08,244.5,0.0,0,HOLD,관망,0
2024-10-09,241.0500030517578,0.0,0,HOLD,관망,0
2024-10-10,238.77000427246094,0.0,0,HOLD,관망,0
2024-10-11,217.8000030517578,0.0,0,HOLD,관망,0
2024-10-14,219.16000366210938,0.0,0,HOLD,관망,0
2024-10-15,219.57000732421875,0.0,0,HOLD,관망,0
2024-10-16,221.3300018310547,0.0,0,HOLD,관망,0
2024-10-17,220.88999938964844,0.11206920458628056,1,BUY,매수,1
2024-10-18,220.6999969482422,0.11206920458628056,1,HOLD,관망,1
2024-10-21,218.85000610351562,0.11206920458628056,1,HOLD,관망,1
2024-10-22,217.97000122070312,0.0,0,HOLD,관망,1
2024-10-23,213.64999389648438,0.0,0,HOLD,관망,1
2024-10-24,260.4800109863281,0.0,0,HOLD,관망,1
2024-10-25,269.19000244140625,0.0,0,HOLD,관망,1
2024-10-28,262.510009765625,0.0,0,HOLD,관망,1
2024-10-29,259.5199890136719,0.0,0,HOLD,관망,1
2024-10-30,257.54998779296875,0.0,0,HOLD,관망,1
2024-10-31,249.85000610351562,0.0,0,HOLD,관망,1
2024-11-01,248.97999572753906,0.0,0,HOLD,관망,1
2024-11-04,242.83999633789062,0.0,0,HOLD,관망,1
2024-11-05,251.44000244140625,0.0,0,HOLD,관망,1
2024-11-06,288.5299987792969,-0.2523287407258039,-1,SELL,매도,0
2024-11-07,296.9100036621094,-0.2523287407258039,-1,HOLD,관망,0
2024-11-08,321.2200012207031,-0.2523287407258039,-1,HOLD,관망,0
2024-11-11,350.0,-0.2523287407258039,-1,HOLD,관망,0
2024-11-12,328.489990234375,-0.2523287407258039,-1,HOLD,관망,0
2024-11-13,330.239990234375,-0.2523287407258039,-1,HOLD,관망,0
2024-11-14,311.17999267578125,0.0,0,HOLD,관망,0
2024-11-15,320.7200012207031,0.0,0,HOLD,관망,0
2024-11-18,338.739990234375,-0.11206920458628056,-1,HOLD,관망,0
2024-11-19,346.0,-0.11206920458628056,-1,HOLD,관망,0
2024-11-20,342.0299987792969,-0.11206920458628056,-1,HOLD,관망,0
2024-11-21,339.6400146484375,-0.11206920458628056,-1,HOLD,관망,0
2024-11-22,352.55999755859375,-0.11206920458628056,-1,HOLD,관망,0
2024-11-25,338.5899963378906,-0.11206920458628056,-1,HOLD,관망,0
2024-11-26,338.2300109863281,0.0,0,HOLD,관망,0
2024-11-27,332.8900146484375,0.0,0,HOLD,관망,0
2024-11-29,345.1600036621094,0.0,0,HOLD,관망,0
2024-12-02,357.0899963378906,0.0,0,HOLD,관망,0
2024-12-03,351.4200134277344,0.0,0,HOLD,관망,0
2024-12-04,357.92999267578125,0.0,0,HOLD,관망,0
2024-12-05,369.489990234375,-0.11206920458628056,-1,HOLD,관망,0
2024-12-06,389.2200012207031,-0.11206920458628056,-1,HOLD,관망,0
2024-12-09,389.7900085449219,-0.11206920458628056,-1,HOLD,관망,0
2024-12-10,400.989990234375,-0.11206920458628056,-1,HOLD,관망,0
2024-12-11,424.7699890136719,-0.2523287407258039,-1,HOLD,관망,0
2024-12-12,418.1000061035156,-0.11206920458628056,-1,HOLD,관망,0
2024-12-13,436.2300109863281,-0.2523287407258039,-1,HOLD,관망,0
2024-12-16,463.0199890136719,-0.2523287407258039,-1,HOLD,관망,0
2024-12-17,479.8599853515625,-0.2523287407258039,-1,HOLD,관망,0
2024-12-18,440.1300048828125,-0.11206920458628056,-1,HOLD,관망,0
2024-12-19,436.1700134277344,-0.11206920458628056,-1,HOLD,관망,0
2024-12-20,421.05999755859375,0.0,0,HOLD,관망,0
2024-12-23,430.6000061035156,0.0,0,HOLD,관망,0
2024-12-24,462.2799987792969,-0.11206920458628056,-1,HOLD,관망,0
2024-12-26,454.1300048828125,0.0,0,HOLD,관망,0
2024-12-27,431.6600036621094,0.0,0,HOLD,관망,0
2024-12-30,417.4100036621094,0.0,0,HOLD,관망,0
2024-12-31,403.8399963378906,0.0,0,HOLD,관망,0
